epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2016,1.80763,3.43102,1.81045,0.61632,0.16089,0.11085,0.03981,2.31468,4.5867,2.46928,0.000545564,0.000545564,0.000545564
2,47.2908,1.93585,2.48998,1.94399,0.00165,0.04199,0.00072,0.00023,3.62144,inf,5.13062,0.00109941,0.00109941,0.00109941
3,62.738,1.98587,2.53948,1.99181,0.05528,0.51511,0.03089,0.01044,2.41605,54.738,3.23088,0.00165143,0.00165143,0.00165143
4,81.1547,2.01359,2.48381,1.99767,0.06634,0.06931,0.0334,0.01304,2.44632,12.5917,2.82724,0.00165875,0.00165875,0.00165875
5,99.4566,1.9422,2.41684,1.968,0.10921,0.3013,0.08681,0.03105,2.22148,5.41925,2.60786,0.001656,0.001656,0.001656
6,114.834,1.92739,2.32679,1.96237,0.21484,0.37628,0.19149,0.06788,2.17524,3.56611,2.43539,0.00165325,0.00165325,0.00165325
7,130.142,1.87115,2.25374,1.92494,0.21926,0.20288,0.09545,0.03715,2.28225,3.34362,2.43589,0.0016505,0.0016505,0.0016505
8,145.492,1.88406,2.17502,1.89743,0.1465,0.28397,0.10504,0.03627,2.24993,7.25796,2.39743,0.00164775,0.00164775,0.00164775
9,160.805,1.82641,2.19069,1.88241,0.28369,0.3333,0.2123,0.08661,2.05806,3.1304,2.23448,0.001645,0.001645,0.001645
10,176.259,1.79317,2.06595,1.8439,0.31918,0.26203,0.21064,0.07463,2.11667,2.66194,2.29838,0.00164225,0.00164225,0.00164225
11,191.639,1.80916,2.08388,1.8473,0.18114,0.36839,0.20601,0.0885,1.93627,2.96154,2.09654,0.00163949,0.00163949,0.00163949
12,206.925,1.75136,2.01864,1.82534,0.23853,0.35194,0.20619,0.07189,2.06487,2.79015,2.28735,0.00163674,0.00163674,0.00163674
13,222.231,1.76763,2.00515,1.84285,0.31163,0.43214,0.28631,0.11242,2.08227,2.71884,2.22315,0.00163399,0.00163399,0.00163399
14,237.691,1.72108,1.97104,1.81031,0.3346,0.26716,0.25475,0.09908,1.99326,2.42536,2.1198,0.00163124,0.00163124,0.00163124
15,253.024,1.69633,1.90173,1.76448,0.3204,0.54046,0.29651,0.13301,1.90216,2.12369,2.04458,0.00162849,0.00162849,0.00162849
16,268.418,1.71857,1.88549,1.77068,0.38221,0.51861,0.41109,0.17644,1.84024,2.16458,2.02642,0.00162574,0.00162574,0.00162574
17,283.799,1.6704,1.81529,1.74122,0.51672,0.30403,0.32847,0.13128,1.91685,2.17866,2.13548,0.00162299,0.00162299,0.00162299
18,299.22,1.69859,1.82348,1.754,0.30524,0.3677,0.28551,0.10168,1.97094,2.72639,2.10592,0.00162024,0.00162024,0.00162024
19,314.705,1.65048,1.79386,1.71494,0.3979,0.5484,0.38746,0.15795,1.94487,2.58978,2.04474,0.00161749,0.00161749,0.00161749
